original,flipped
HO,OH
HOH,HOH
HON,NOH
HOO,OOH
HOS,SOH
IO,OI
IS,SI
IWIS,SIMI
MO,OW
MOM,WOW
MON,NOW
MONS,SNOW
MOS,SOW
MOW,MOW
NIM,WIN
NIS,SIN
NO,ON
NOH,HON
NOM,WON
NON,NON
NOO,OON
NOON,NOON
NOS,SON
NOW,MON
OH,HO
OHM,WHO
OHO,OHO
OHOS,SOHO
OI,IO
OM,WO
ON,NO
OO,OO
OOH,HOO
OOHS,SHOO
OOM,WOO
OON,NOO
OS,SO
OW,MO
OXO,OXO
SHOO,OOHS
SI,IS
SIM,WIS
SIMI,IWIS
SIN,NIS
SIS,SIS
SIX,XIS
SNOW,MONS
SO,OS
SOH,HOS
SOHO,OHOS
SOM,WOS
SON,NOS
SOOM,WOOS
SOS,SOS
SOW,MOS
SWIMS,SWIMS
WHO,OHM
WIN,NIM
WIS,SIM
WO,OM
WON,NOM
WOO,OOM
WOOS,SOOM
WOS,SOM
WOW,MOM
XIS,SIX
ZIZ,ZIZ
ZZZ,ZZZ
